x1,y1,x2,y2,visible
479.92,257.1,356.36,337.1,1
230.66,258.64,356.36,337.1,1
284.29,185.63,230.17,259.88,1
429.3,185.61,479.54,257.45,1
356.75,337.1,284.16,185.84,1
356.36,337.1,428.96,185.84,1
263.77,99.18,263.77,213.92,1
450.32,99.18,450.32,213.92,1
336.36,185.63,263.77,99.18,1
316.36,561.91,276.36,286.84,1
396.23,561.91,434.13,286.84,1
377.73,185.63,450.32,99.18,1
263.77,99.18,284.29,185.63,1
449.68,99.18,429.16,185.63,1
429.75,185.74,283.88,185.74,1
356.61,336.34,356.18,561.9,1
356.24,548.6,316.34,561.56,1
395.88,561.56,356.24,548.6,1
199.06,412.14,275.18,286.76,1
199.93,529.8,242.12,561.71,1
200,530.45,199.32,411.54,1
163.75,554.1,232.05,554.1,1
162.26,554.08,200.16,529.78,1
137.37,535.34,181.37,541.95,1
162.44,554.1,137.44,535.26,1
241.68,561.71,396.04,561.64,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
