x1,y1,x2,y2,visible
218.76,543.57,173.76,543.57,1
114.99,337.75,174.04,543.57,1
158.86,248.41,114.99,337.75,1
277.59,225.24,158.86,248.41,1
284.91,215.48,233.69,267.92,1
381.82,195.48,284.91,215.48,1
411.33,367.92,381.25,195.18,1
376.8,543.57,411.4,367.92,1
342.08,543.57,376.68,543.57,1
114.99,337.75,342.78,543.57,1
369.31,440.66,411.65,367.92,1
233.69,267.92,369.31,440.66,1
369.31,440.66,284.91,215.48,1
476.33,367.92,411.33,367.92,1
529.42,280.02,476.33,367.92,1
476.33,367.92,421.55,212.5,1
453.1,301.25,501.84,278.08,1
535.53,304.01,521.46,292.89,1
529.42,280.02,535.53,304.01,1
265.07,472.64,218.23,543.57,1
163.45,508.11,218.23,543.57,1
381.82,513.29,342.78,543.57,1
112.4,374.45,114.93,337.75,1
124.3,370.86,112.4,374.07,1
95.68,377.61,112.78,366.5,1
117.22,377.61,95.68,377.61,1
112.4,374.07,117.22,377.61,1
117.22,372.71,117.22,378.11,1
421.55,212.5,381.25,195.48,1
501.84,278.08,529.42,279.56,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
