x1,y1,x2,y2,visible
202.42,337.2,135.75,129.96,1
28.51,458.94,202.42,337.2,1
320,361.84,28.51,458.94,1
202.42,337.2,319.29,361.84,1
244.45,296.62,135.75,129.96,1
244.45,296.62,202.42,337.2,1
311.45,308.58,244.45,296.62,1
328.92,429.86,312.17,308.13,1
214.26,422.46,202.42,398.07,1
328.92,429.86,266.72,415.9,1
266.72,378.2,266.72,415.9,1
410.98,199.51,328.92,429.86,1
363.44,206.07,410.98,199.51,1
312.17,308.13,363.44,206.07,1
491.31,253.61,410.98,199.51,1
397.87,237.21,491.31,253.61,1
374.26,402.46,337.8,406.07,1
266.72,415.9,214.26,422.46,1
404.43,237.21,369.95,402.46,1
410.98,358.52,378.2,361.84,1
548.84,296.62,389,308.13,1
547.05,296.62,410.98,358.52,1
404.43,218.62,491.31,253.61,1
389,308.58,410.98,358.52,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
