x1,y1,x2,y2,visible
185.65,315.53,494.8,238.7,1
385.65,211.87,185.65,315.53,1
371.02,268.58,385.65,211.87,1
392.36,489.92,494.8,238.7,1
219.8,489.92,392.36,489.92,1
219.8,489.92,185.65,315.53,1
219.8,489.92,494.8,238.7,1
476.5,440.53,392.36,489.92,1
434.43,382.6,502.72,353.33,1
502.72,353.33,476.5,440.53,1
392.36,489.92,502.72,353.33,1
111.7,389.69,219.8,489.92,1
187.11,145.97,111.87,389.92,1
106.38,156.99,212.48,142.97,1
170.78,407.54,212.48,142.97,1
170.61,406.79,219.8,487.48,1
111.87,389.92,170.78,407.54,1
159.43,113.9,212.48,142.97,1
106.38,156.99,159.43,113.9,1
218.55,119.57,159.43,113.9,1
212.48,142.97,218.55,119.57,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
